,link,id,rating,popularity
106,http://rozetka.com.ua/doogge_6924351603410/p12679529/#tab=characteristics,106,106,190
107,http://rozetka.com.ua/oukitel_k4000_lite_wh_eu/p12548776/#tab=characteristics,107,107,191
108,http://rozetka.com.ua/lenovo_vibe_p1_pro_graphite_grey/p9651786/#tab=characteristics,108,108,79
109,http://rozetka.com.ua/fly_fs407_stratus_6_white/p13640160/#tab=characteristics,109,109,155
110,http://rozetka.com.ua/prestigio_psp3508duo_yellow/p13678499/#tab=characteristics,110,110,192
111,http://rozetka.com.ua/prestigio_psp3525duiblack/p13679010/#tab=characteristics,111,111,156
112,http://rozetka.com.ua/ergo_a551_sky_4g_dual_sim_dark_blue/p13683763/#tab=characteristics,112,112,157
113,http://rozetka.com.ua/ergo_a502_aurum_dual_sim_black/p13686927/#tab=characteristics,113,113,158
114,http://rozetka.com.ua/sigma_xtreme_pq27_black_silver/p13702348/#tab=characteristics,114,114,193
115,http://rozetka.com.ua/xiaomi_redmi_3_32gb_gr_roz/p13710923/#tab=characteristics,115,115,194
116,http://rozetka.com.ua/xiaomi_redmi_4a_2_16_gd_roz/p13710979/#tab=characteristics,116,116,3
117,http://rozetka.com.ua/huawei_51090pwt/p10018355/#tab=characteristics,117,117,80
118,http://rozetka.com.ua/meizu_m5_332_gd_eu/p12550099/#tab=characteristics,118,118,195
119,http://rozetka.com.ua/huawei_nova_grey/p12424701/#tab=characteristics,119,119,81
120,http://rozetka.com.ua/oukitel_c3_wh_eu/p12144875/#tab=characteristics,120,120,196
121,http://rozetka.com.ua/meizu_u10_32_black/p12318609/#tab=characteristics,121,121,197
122,http://rozetka.com.ua/asus_zd551kl_1b446ww/p7722284/#tab=characteristics,122,122,82
123,http://rozetka.com.ua/motorola_pa5d0057ua/p13744257/#tab=characteristics,123,123,159
124,http://rozetka.com.ua/samsung_galaxy_s7_edge_32gb_blue/p13784871/#tab=characteristics,124,124,83
125,http://rozetka.com.ua/apple_iphone_7_128gb_black/p11247128/#tab=characteristics,125,125,84
126,http://rozetka.com.ua/lgh845_acisgd/p9154520/#tab=characteristics,126,126,85
127,http://rozetka.com.ua/fly_iq4413_quad_evo_chic_3_silver/p1483672/#tab=characteristics,127,127,86
128,http://rozetka.com.ua/prestigio_multiphone_3506_duo_black/p9871089/#tab=characteristics,128,128,87
129,http://rozetka.com.ua/lg_x_style_titan/p9820311/#tab=characteristics,129,129,88
130,http://rozetka.com.ua/zte_axon7_mini_gold/p11891825/#tab=characteristics,130,130,200
131,http://rozetka.com.ua/fly_fs508_cirrus_6_bk/p13123145/#tab=characteristics,131,131,201
132,http://rozetka.com.ua/motorola_sm4410ae7k7/p9856648/#tab=characteristics,132,132,89
133,http://rozetka.com.ua/leeco_le_pro_3_4_64gb_gold/p12803961/#tab=characteristics,133,133,202
134,http://rozetka.com.ua/asus_zenfone_go_16gb_black/p9961242/#tab=characteristics,134,134,90
135,http://rozetka.com.ua/doogge_y100_pro_silver/p7758726/#tab=characteristics,135,135,203
136,http://rozetka.com.ua/fly_fs509_nimbus_9_red/p13012692/#tab=characteristics,136,136,160
137,http://rozetka.com.ua/pixus_hit/p10698888/#tab=characteristics,137,137,91
138,http://rozetka.com.ua/lenovo_c2_power_k10a40_white/p9856340/#tab=characteristics,138,138,92
139,http://rozetka.com.ua/doogge_6924351602819/p12676316/#tab=characteristics,139,139,204
140,http://rozetka.com.ua/lenovo_pa5e0015ua/p12092459/#tab=characteristics,140,140,205
141,http://rozetka.com.ua/fly_fs514_cirrus_8_white_gold/p13015674/#tab=characteristics,141,141,206
142,http://rozetka.com.ua/prestigio_multiphone_3403_duo_green/p9871033/#tab=characteristics,142,142,207
143,http://rozetka.com.ua/goclever_quantum3_500_gray/p6974753/#tab=characteristics,143,143,93
144,http://rozetka.com.ua/fly_fs507_cirrus_4_black/p11024353/#tab=characteristics,144,144,208
145,http://rozetka.com.ua/lg_k10_k410_gold/p9134070/#tab=characteristics,145,145,94
146,http://rozetka.com.ua/asus_ze551ml_32gb_gold/p7361386/#tab=characteristics,146,146,95
147,http://rozetka.com.ua/meizu_m5_216_gd_eu/p12548090/#tab=characteristics,147,147,209
148,http://rozetka.com.ua/tp_link_neffos_y5_dark_grey/p12828559/#tab=characteristics,148,148,210
149,http://rozetka.com.ua/caterpillar_cat_s30/p5529297/#tab=characteristics,149,149,96
150,http://rozetka.com.ua/philips_ctv377_rzrehqru/p8806673/#tab=characteristics,150,150,97
151,http://rozetka.com.ua/leeco_le_pro_3_6_64gb_rose_gold/p12598812/#tab=characteristics,151,151,211
152,http://rozetka.com.ua/alcatel_one_touch_idol_3_6045y_dark_grey/p8916328/#tab=characteristics,152,152,98
153,http://rozetka.com.ua/asus_zb452kg_1a004ww/p8684299/#tab=characteristics,153,153,99
154,http://rozetka.com.ua/zte_blade_l110_orange/p11874451/#tab=characteristics,154,154,212
155,http://rozetka.com.ua/leeco_le_max_2_x822_4_32gb_rose_gold/p12598770/#tab=characteristics,155,155,213
156,http://rozetka.com.ua/lg_x_view_white/p9917779/#tab=characteristics,156,156,100
157,http://rozetka.com.ua/prestigio_multiphone_muze_a5_5502_duo_black/p9388264/#tab=characteristics,157,157,101
158,http://rozetka.com.ua/sony_xperia_xa_ultra_dual_black/p9308289/#tab=characteristics,158,158,102
159,http://rozetka.com.ua/lg_x_cam_titan/p7241410/#tab=characteristics,159,159,214
160,http://rozetka.com.ua/alcatel_5051d_slate/p12857301/#tab=characteristics,160,160,215
161,http://rozetka.com.ua/prestigio_multiphone_wize_n3_3507_duo_black/p9374306/#tab=characteristics,161,161,103
162,http://rozetka.com.ua/prestigio_multiphone_wize_nx3_3517_duo_black/p12233684/#tab=characteristics,162,162,104
163,http://rozetka.com.ua/sigma_x_treme_pq31_grey_black/p12549959/#tab=characteristics,163,163,105
164,http://rozetka.com.ua/leeco_le_max_2_x822_6_64gb_rose_gold/p12598728/#tab=characteristics,164,164,216
165,http://rozetka.com.ua/ergo_a550_maxx_ds_black/p9976124/#tab=characteristics,165,165,217
166,http://rozetka.com.ua/astro_s501_rose_gold/p12830743/#tab=characteristics,166,166,218
167,http://rozetka.com.ua/umi_london_8gb_black/p12262230/#tab=characteristics,167,167,106
168,http://rozetka.com.ua/lg_lgk350e_aciswh/p8204197/#tab=characteristics,168,168,107
169,http://rozetka.com.ua/zte_blade_x3_black/p11882053/#tab=characteristics,169,169,108
170,http://rozetka.com.ua/bravis_a551_atlas_ds_grey/p9899432/#tab=characteristics,170,170,109
171,http://rozetka.com.ua/lg_k10_lte_k430ds_white/p7152988/#tab=characteristics,171,171,219
